rowid,yearstart,yearend,locationabbr,locationdesc,datasource,class,topic,question,data_value_unit,datavaluetypeid,data_value_type,data_value_footnote_symbol,data_value_footnote,stratificationcategory1,stratification1,stratificationcategory2,stratification2,geolocation,classid,topicid,questionid,locationid,stratificationcategoryid1,stratificationid1,stratificationcategoryid2,stratificationid2,data_value,data_value_alt,low_confidence_limit,high_confidence_limit
BRFSS~2022~2022~16~Q42~TCC04~AGE~SEX,2022,2022,ID,Idaho,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,Age Group,65 years or older,Sex,Female,"{'type': 'Point', 'coordinates': [-114.3637300419997, 43.682630005000476]}",C06,TCC04,Q42,16,AGE,65PLUS,SEX,FEMALE,48.3,48.3,37.7,59.1
BRFSS~2022~2022~19~Q31~TCC02~AGE~RACE,2022,2022,IA,Iowa,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,~,No Data Available,Age Group,50-64 years,Race/Ethnicity,"Black, non-Hispanic","{'type': 'Point', 'coordinates': [-93.81649055599968, 42.46940091300047]}",C06,TCC02,Q31,19,AGE,5064,RACE,BLK,,,,
BRFSS~2022~2022~09~Q30~TCC01~AGE~OVERALL,2022,2022,CT,Connecticut,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,,,Age Group,Overall,,,"{'type': 'Point', 'coordinates': [-72.64984095199964, 41.56266102000046]}",C06,TCC01,Q30,09,AGE,AGE_OVERALL,OVERALL,OVERALL,11.7,11.7,9.9,13.8
BRFSS~2022~2022~06~Q42~TCC04~AGE~RACE,2022,2022,CA,California,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic","{'type': 'Point', 'coordinates': [-120.99999953799971, 37.63864012300047]}",C06,TCC04,Q42,06,AGE,65PLUS,RACE,BLK,,,,
BRFSS~2022~2022~12~Q41~TCC03~AGE~SEX,2022,2022,FL,Florida,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,,,Age Group,50-64 years,Sex,Male,"{'type': 'Point', 'coordinates': [-81.92896053899966, 28.932040377000476]}",C06,TCC03,Q41,12,AGE,5064,SEX,MALE,28.6,28.6,17.0,44.0
BRFSS~2022~2022~04~Q41~TCC03~AGE~RACE,2022,2022,AZ,Arizona,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,65 years or older,Race/Ethnicity,Hispanic,"{'type': 'Point', 'coordinates': [-111.76381127699972, 34.865970280000454]}",C06,TCC03,Q41,04,AGE,65PLUS,RACE,HIS,,,,
BRFSS~2022~2022~18~Q41~TCC03~AGE~RACE,2022,2022,IN,Indiana,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,,,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic","{'type': 'Point', 'coordinates': [-86.14996019399968, 39.766910452000445]}",C06,TCC03,Q41,18,AGE,5064,RACE,WHT,33.9,33.9,27.3,41.2
BRFSS~2022~2022~12~Q31~TCC02~AGE~RACE,2022,2022,FL,Florida,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,50-64 years,Race/Ethnicity,Hispanic,"{'type': 'Point', 'coordinates': [-81.92896053899966, 28.932040377000476]}",C06,TCC02,Q31,12,AGE,5064,RACE,HIS,,,,
BRFSS~2022~2022~16~Q30~TCC01~AGE~SEX,2022,2022,ID,Idaho,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,,,Age Group,Overall,Sex,Male,"{'type': 'Point', 'coordinates': [-114.3637300419997, 43.682630005000476]}",C06,TCC01,Q30,16,AGE,AGE_OVERALL,SEX,MALE,11.7,11.7,10.0,13.8
BRFSS~2022~2022~09~Q41~TCC03~AGE~RACE,2022,2022,CT,Connecticut,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,50-64 years,Race/Ethnicity,"Black, non-Hispanic","{'type': 'Point', 'coordinates': [-72.64984095199964, 41.56266102000046]}",C06,TCC03,Q41,09,AGE,5064,RACE,BLK,,,,
BRFSS~2022~2022~09~Q41~TCC03~AGE~RACE,2022,2022,CT,Connecticut,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,~,No Data Available,Age Group,50-64 years,Race/Ethnicity,Asian/Pacific Islander,"{'type': 'Point', 'coordinates': [-72.64984095199964, 41.56266102000046]}",C06,TCC03,Q41,09,AGE,5064,RACE,ASN,,,,
BRFSS~2022~2022~16~Q31~TCC02~AGE~RACE,2022,2022,ID,Idaho,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,Age Group,Overall,Race/Ethnicity,"White, non-Hispanic","{'type': 'Point', 'coordinates': [-114.3637300419997, 43.682630005000476]}",C06,TCC02,Q31,16,AGE,AGE_OVERALL,RACE,WHT,31.6,31.6,26.0,37.9
BRFSS~2022~2022~04~Q31~TCC02~AGE~SEX,2022,2022,AZ,Arizona,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,Age Group,50-64 years,Sex,Female,"{'type': 'Point', 'coordinates': [-111.76381127699972, 34.865970280000454]}",C06,TCC02,Q31,04,AGE,5064,SEX,FEMALE,40.0,40.0,26.2,55.6
BRFSS~2022~2022~18~Q41~TCC03~AGE~SEX,2022,2022,IN,Indiana,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,,,Age Group,Overall,Sex,Male,"{'type': 'Point', 'coordinates': [-86.14996019399968, 39.766910452000445]}",C06,TCC03,Q41,18,AGE,AGE_OVERALL,SEX,MALE,28.1,28.1,21.9,35.2
BRFSS~2022~2022~18~Q31~TCC02~AGE~SEX,2022,2022,IN,Indiana,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,Age Group,65 years or older,Sex,Male,"{'type': 'Point', 'coordinates': [-86.14996019399968, 39.766910452000445]}",C06,TCC02,Q31,18,AGE,65PLUS,SEX,MALE,21.8,21.8,14.3,31.9
BRFSS~2022~2022~04~Q41~TCC03~AGE~RACE,2022,2022,AZ,Arizona,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,"{'type': 'Point', 'coordinates': [-111.76381127699972, 34.865970280000454]}",C06,TCC03,Q41,04,AGE,AGE_OVERALL,RACE,NAA,,,,
BRFSS~2022~2022~19~Q31~TCC02~AGE~RACE,2022,2022,IA,Iowa,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,~,No Data Available,Age Group,65 years or older,Race/Ethnicity,Hispanic,"{'type': 'Point', 'coordinates': [-93.81649055599968, 42.46940091300047]}",C06,TCC02,Q31,19,AGE,65PLUS,RACE,HIS,,,,
BRFSS~2022~2022~12~Q42~TCC04~AGE~SEX,2022,2022,FL,Florida,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,Age Group,65 years or older,Sex,Male,"{'type': 'Point', 'coordinates': [-81.92896053899966, 28.932040377000476]}",C06,TCC04,Q42,12,AGE,65PLUS,SEX,MALE,52.5,52.5,36.7,67.7
BRFSS~2022~2022~19~Q42~TCC04~AGE~RACE,2022,2022,IA,Iowa,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,~,No Data Available,Age Group,50-64 years,Race/Ethnicity,"Black, non-Hispanic","{'type': 'Point', 'coordinates': [-93.81649055599968, 42.46940091300047]}",C06,TCC04,Q42,19,AGE,5064,RACE,BLK,,,,
BRFSS~2022~2022~06~Q31~TCC02~AGE~RACE,2022,2022,CA,California,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,~,No Data Available,Age Group,50-64 years,Race/Ethnicity,Native Am/Alaskan Native,"{'type': 'Point', 'coordinates': [-120.99999953799971, 37.63864012300047]}",C06,TCC02,Q31,06,AGE,5064,RACE,NAA,,,,
BRFSS~2022~2022~12~Q30~TCC01~AGE~RACE,2022,2022,FL,Florida,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,50-64 years,Race/Ethnicity,Native Am/Alaskan Native,"{'type': 'Point', 'coordinates': [-81.92896053899966, 28.932040377000476]}",C06,TCC01,Q30,12,AGE,5064,RACE,NAA,,,,
BRFSS~2022~2022~04~Q31~TCC02~AGE~RACE,2022,2022,AZ,Arizona,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,"{'type': 'Point', 'coordinates': [-111.76381127699972, 34.865970280000454]}",C06,TCC02,Q31,04,AGE,65PLUS,RACE,NAA,,,,
BRFSS~2022~2022~19~Q30~TCC01~AGE~SEX,2022,2022,IA,Iowa,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,,,Age Group,50-64 years,Sex,Male,"{'type': 'Point', 'coordinates': [-93.81649055599968, 42.46940091300047]}",C06,TCC01,Q30,19,AGE,5064,SEX,MALE,9.0,9.0,6.4,12.5
BRFSS~2022~2022~18~Q30~TCC01~AGE~RACE,2022,2022,IN,Indiana,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,50-64 years,Race/Ethnicity,Asian/Pacific Islander,"{'type': 'Point', 'coordinates': [-86.14996019399968, 39.766910452000445]}",C06,TCC01,Q30,18,AGE,5064,RACE,ASN,,,,
BRFSS~2022~2022~12~Q31~TCC02~AGE~RACE,2022,2022,FL,Florida,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,"{'type': 'Point', 'coordinates': [-81.92896053899966, 28.932040377000476]}",C06,TCC02,Q31,12,AGE,65PLUS,RACE,NAA,,,,
BRFSS~2022~2022~19~Q41~TCC03~AGE~SEX,2022,2022,IA,Iowa,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,50-64 years,Sex,Male,"{'type': 'Point', 'coordinates': [-93.81649055599968, 42.46940091300047]}",C06,TCC03,Q41,19,AGE,5064,SEX,MALE,,,,
BRFSS~2022~2022~18~Q30~TCC01~AGE~SEX,2022,2022,IN,Indiana,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,,,Age Group,65 years or older,Sex,Male,"{'type': 'Point', 'coordinates': [-86.14996019399968, 39.766910452000445]}",C06,TCC01,Q30,18,AGE,65PLUS,SEX,MALE,11.5,11.5,9.5,13.9
BRFSS~2022~2022~06~Q31~TCC02~AGE~RACE,2022,2022,CA,California,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,Overall,Race/Ethnicity,Hispanic,"{'type': 'Point', 'coordinates': [-120.99999953799971, 37.63864012300047]}",C06,TCC02,Q31,06,AGE,AGE_OVERALL,RACE,HIS,,,,
BRFSS~2022~2022~12~Q31~TCC02~AGE~SEX,2022,2022,FL,Florida,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,Age Group,50-64 years,Sex,Male,"{'type': 'Point', 'coordinates': [-81.92896053899966, 28.932040377000476]}",C06,TCC02,Q31,12,AGE,5064,SEX,MALE,31.5,31.5,19.3,47.0
BRFSS~2022~2022~06~Q31~TCC02~AGE~RACE,2022,2022,CA,California,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic","{'type': 'Point', 'coordinates': [-120.99999953799971, 37.63864012300047]}",C06,TCC02,Q31,06,AGE,5064,RACE,WHT,,,,
BRFSS~2022~2022~19~Q30~TCC01~AGE~RACE,2022,2022,IA,Iowa,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,,,Age Group,Overall,Race/Ethnicity,"White, non-Hispanic","{'type': 'Point', 'coordinates': [-93.81649055599968, 42.46940091300047]}",C06,TCC01,Q30,19,AGE,AGE_OVERALL,RACE,WHT,11.7,11.7,10.0,13.6
BRFSS~2022~2022~19~Q31~TCC02~AGE~RACE,2022,2022,IA,Iowa,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,Age Group,Overall,Race/Ethnicity,"White, non-Hispanic","{'type': 'Point', 'coordinates': [-93.81649055599968, 42.46940091300047]}",C06,TCC02,Q31,19,AGE,AGE_OVERALL,RACE,WHT,29.3,29.3,22.6,37.0
BRFSS~2022~2022~18~Q31~TCC02~AGE~RACE,2022,2022,IN,Indiana,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic","{'type': 'Point', 'coordinates': [-86.14996019399968, 39.766910452000445]}",C06,TCC02,Q31,18,AGE,5064,RACE,WHT,44.7,44.7,37.4,52.2
BRFSS~2022~2022~16~Q42~TCC04~AGE~RACE,2022,2022,ID,Idaho,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,50-64 years,Race/Ethnicity,Hispanic,"{'type': 'Point', 'coordinates': [-114.3637300419997, 43.682630005000476]}",C06,TCC04,Q42,16,AGE,5064,RACE,HIS,,,,
BRFSS~2022~2022~04~Q41~TCC03~AGE~RACE,2022,2022,AZ,Arizona,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,50-64 years,Race/Ethnicity,Native Am/Alaskan Native,"{'type': 'Point', 'coordinates': [-111.76381127699972, 34.865970280000454]}",C06,TCC03,Q41,04,AGE,5064,RACE,NAA,,,,
BRFSS~2022~2022~09~Q42~TCC04~AGE~RACE,2022,2022,CT,Connecticut,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,~,No Data Available,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,"{'type': 'Point', 'coordinates': [-72.64984095199964, 41.56266102000046]}",C06,TCC04,Q42,09,AGE,65PLUS,RACE,NAA,,,,
BRFSS~2022~2022~19~Q30~TCC01~AGE~RACE,2022,2022,IA,Iowa,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,~,No Data Available,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,"{'type': 'Point', 'coordinates': [-93.81649055599968, 42.46940091300047]}",C06,TCC01,Q30,19,AGE,65PLUS,RACE,NAA,,,,
BRFSS~2022~2022~16~Q42~TCC04~AGE~OVERALL,2022,2022,ID,Idaho,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,Age Group,65 years or older,,,"{'type': 'Point', 'coordinates': [-114.3637300419997, 43.682630005000476]}",C06,TCC04,Q42,16,AGE,65PLUS,OVERALL,OVERALL,42.6,42.6,35.3,50.3
BRFSS~2022~2022~09~Q42~TCC04~AGE~RACE,2022,2022,CT,Connecticut,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,65 years or older,Race/Ethnicity,Hispanic,"{'type': 'Point', 'coordinates': [-72.64984095199964, 41.56266102000046]}",C06,TCC04,Q42,09,AGE,65PLUS,RACE,HIS,,,,
BRFSS~2022~2022~06~Q30~TCC01~AGE~RACE,2022,2022,CA,California,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,,,Age Group,65 years or older,Race/Ethnicity,Hispanic,"{'type': 'Point', 'coordinates': [-120.99999953799971, 37.63864012300047]}",C06,TCC01,Q30,06,AGE,65PLUS,RACE,HIS,8.7,8.7,4.9,15.0
BRFSS~2022~2022~04~Q30~TCC01~AGE~RACE,2022,2022,AZ,Arizona,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,,,Age Group,50-64 years,Race/Ethnicity,Hispanic,"{'type': 'Point', 'coordinates': [-111.76381127699972, 34.865970280000454]}",C06,TCC01,Q30,04,AGE,5064,RACE,HIS,12.9,12.9,7.3,21.8
BRFSS~2022~2022~16~Q30~TCC01~AGE~OVERALL,2022,2022,ID,Idaho,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,,,Age Group,Overall,,,"{'type': 'Point', 'coordinates': [-114.3637300419997, 43.682630005000476]}",C06,TCC01,Q30,16,AGE,AGE_OVERALL,OVERALL,OVERALL,11.0,11.0,9.9,12.4
BRFSS~2022~2022~18~Q41~TCC03~AGE~RACE,2022,2022,IN,Indiana,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,,,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic","{'type': 'Point', 'coordinates': [-86.14996019399968, 39.766910452000445]}",C06,TCC03,Q41,18,AGE,65PLUS,RACE,WHT,28.0,28.0,21.6,35.5
BRFSS~2022~2022~19~Q42~TCC04~AGE~SEX,2022,2022,IA,Iowa,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,Age Group,65 years or older,Sex,Male,"{'type': 'Point', 'coordinates': [-93.81649055599968, 42.46940091300047]}",C06,TCC04,Q42,19,AGE,65PLUS,SEX,MALE,31.9,31.9,20.9,45.3
BRFSS~2022~2022~04~Q42~TCC04~AGE~RACE,2022,2022,AZ,Arizona,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,~,No Data Available,Age Group,50-64 years,Race/Ethnicity,"Black, non-Hispanic","{'type': 'Point', 'coordinates': [-111.76381127699972, 34.865970280000454]}",C06,TCC04,Q42,04,AGE,5064,RACE,BLK,,,,
BRFSS~2022~2022~06~Q42~TCC04~AGE~RACE,2022,2022,CA,California,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,50-64 years,Race/Ethnicity,Hispanic,"{'type': 'Point', 'coordinates': [-120.99999953799971, 37.63864012300047]}",C06,TCC04,Q42,06,AGE,5064,RACE,HIS,,,,
BRFSS~2022~2022~18~Q42~TCC04~AGE~RACE,2022,2022,IN,Indiana,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic","{'type': 'Point', 'coordinates': [-86.14996019399968, 39.766910452000445]}",C06,TCC04,Q42,18,AGE,AGE_OVERALL,RACE,BLK,52.1,52.1,36.4,67.4
BRFSS~2022~2022~12~Q41~TCC03~AGE~RACE,2022,2022,FL,Florida,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,65 years or older,Race/Ethnicity,Hispanic,"{'type': 'Point', 'coordinates': [-81.92896053899966, 28.932040377000476]}",C06,TCC03,Q41,12,AGE,65PLUS,RACE,HIS,,,,
BRFSS~2022~2022~06~Q41~TCC03~AGE~RACE,2022,2022,CA,California,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,~,No Data Available,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,"{'type': 'Point', 'coordinates': [-120.99999953799971, 37.63864012300047]}",C06,TCC03,Q41,06,AGE,65PLUS,RACE,NAA,,,,
BRFSS~2022~2022~09~Q41~TCC03~AGE~RACE,2022,2022,CT,Connecticut,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,"{'type': 'Point', 'coordinates': [-72.64984095199964, 41.56266102000046]}",C06,TCC03,Q41,09,AGE,AGE_OVERALL,RACE,NAA,,,,
BRFSS~2022~2022~09~Q41~TCC03~AGE~SEX,2022,2022,CT,Connecticut,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,65 years or older,Sex,Male,"{'type': 'Point', 'coordinates': [-72.64984095199964, 41.56266102000046]}",C06,TCC03,Q41,09,AGE,65PLUS,SEX,MALE,,,,
