Year,State_Code,State,Category,Topic,Question,Measure_Type,Unit,Value,CI_Low,CI_High,Stratification_Category,Stratification,Stratification_Category2,Stratification2,Question_Short
2020,AR,Arkansas,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,12.6,8.7,17.9,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic",Percentage of older adults who reported subjective cognitive decline or memory l...
2020,AR,Arkansas,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,50.0,35.7,64.2,Age Group,50-64 years,Sex,Female,Percentage of older adults who reported that as a result of subjective cognitive...
2020,CA,California,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,12.9,8.0,20.1,Age Group,65 years or older,Sex,Female,Percentage of older adults who reported subjective cognitive decline or memory l...
2020,AR,Arkansas,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,Percentage,%,60.7,45.6,73.9,Age Group,50-64 years,Sex,Female,Percentage of older adults who reported subjective cognitive decline or memory l...
2020,AK,Alaska,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,5.6,3.3,9.4,Age Group,50-64 years,Sex,Male,Percentage of older adults who reported subjective cognitive decline or memory l...
2020,DE,Delaware,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,Percentage,%,47.7,33.1,62.6,Age Group,50-64 years,,,Percentage of older adults who reported subjective cognitive decline or memory l...
2020,DC,District of Columbia,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,41.4,28.6,55.5,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic",Percentage of older adults who reported that as a result of subjective cognitive...
2020,AZ,Arizona,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,Percentage,%,28.1,21.1,36.5,Age Group,65 years or older,,,Percentage of older adults who reported subjective cognitive decline or memory l...
2020,DC,District of Columbia,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,38.3,22.2,57.4,Age Group,Overall,Sex,Male,Percentage of older adults who reported that as a result of subjective cognitive...
2020,AZ,Arizona,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,46.4,40.1,52.8,Age Group,Overall,,,Percentage of older adults with subjective cognitive decline or memory loss who ...
2020,DC,District of Columbia,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,8.9,6.1,12.8,Age Group,65 years or older,Sex,Male,Percentage of older adults who reported subjective cognitive decline or memory l...
2020,DE,Delaware,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,61.0,45.8,74.3,Age Group,50-64 years,,,Percentage of older adults with subjective cognitive decline or memory loss who ...
2020,AZ,Arizona,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,13.6,8.4,21.3,Age Group,65 years or older,Race/Ethnicity,Hispanic,Percentage of older adults who reported subjective cognitive decline or memory l...
2020,AZ,Arizona,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,8.9,7.7,10.3,Age Group,Overall,Race/Ethnicity,"White, non-Hispanic",Percentage of older adults who reported subjective cognitive decline or memory l...
2020,DE,Delaware,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,24.6,13.3,41.1,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",Percentage of older adults who reported that as a result of subjective cognitive...
2020,AZ,Arizona,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,41.2,31.7,51.5,Age Group,50-64 years,,,Percentage of older adults who reported that as a result of subjective cognitive...
2020,DE,Delaware,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,33.0,23.9,43.6,Age Group,Overall,,,Percentage of older adults who reported that as a result of subjective cognitive...
2019,WV,West Virginia,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,48.0,42.1,54.0,Age Group,Overall,Race/Ethnicity,"White, non-Hispanic",Percentage of older adults with subjective cognitive decline or memory loss who ...
2019,WEST,West,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,43.2,21.0,68.5,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,Percentage of older adults who reported that as a result of subjective cognitive...
2019,WY,Wyoming,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,18.7,11.9,28.3,Age Group,65 years or older,,,Percentage of older adults who reported that as a result of subjective cognitive...
2019,WV,West Virginia,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,Percentage,%,31.5,24.3,39.7,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WY,Wyoming,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,Percentage,%,27.0,16.7,40.6,Age Group,Overall,Sex,Male,Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WI,Wisconsin,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,Percentage,%,26.2,20.0,33.6,Age Group,Overall,Sex,Male,Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WY,Wyoming,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,31.6,20.9,44.7,Age Group,Overall,Sex,Male,Percentage of older adults with subjective cognitive decline or memory loss who ...
2019,WV,West Virginia,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,31.5,21.8,43.3,Age Group,65 years or older,Sex,Male,Percentage of older adults who reported that as a result of subjective cognitive...
2019,WV,West Virginia,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,40.9,33.6,48.6,Age Group,Overall,Sex,Female,Percentage of older adults who reported that as a result of subjective cognitive...
2019,WEST,West,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,55.9,40.1,70.5,Age Group,50-64 years,Race/Ethnicity,Hispanic,Percentage of older adults who reported that as a result of subjective cognitive...
2019,WV,West Virginia,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,55.8,47.7,63.6,Age Group,50-64 years,,,Percentage of older adults with subjective cognitive decline or memory loss who ...
2019,WEST,West,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,28.3,22.9,34.4,Age Group,Overall,Sex,Male,Percentage of older adults who reported that as a result of subjective cognitive...
2019,WI,Wisconsin,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,37.4,28.4,47.4,Age Group,65 years or older,,,Percentage of older adults with subjective cognitive decline or memory loss who ...
2019,WEST,West,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,45.1,12.9,82.0,Age Group,Overall,Race/Ethnicity,Asian/Pacific Islander,Percentage of older adults who reported that as a result of subjective cognitive...
2019,WEST,West,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,35.3,26.9,44.7,Age Group,50-64 years,Sex,Male,Percentage of older adults who reported that as a result of subjective cognitive...
2019,WI,Wisconsin,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,43.5,36.8,50.5,Age Group,Overall,Sex,Female,Percentage of older adults with subjective cognitive decline or memory loss who ...
2019,WI,Wisconsin,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,8.8,7.5,10.2,Age Group,50-64 years,,,Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WV,West Virginia,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,Percentage,%,63.0,52.3,72.5,Age Group,50-64 years,Sex,Female,Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WEST,West,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,Percentage,%,46.1,27.6,65.6,Age Group,Overall,Race/Ethnicity,Asian/Pacific Islander,Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WI,Wisconsin,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,50.7,39.5,61.9,Age Group,50-64 years,,,Percentage of older adults with subjective cognitive decline or memory loss who ...
2019,WEST,West,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,Percentage,%,39.6,24.5,57.0,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WEST,West,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,44.6,34.0,55.8,Age Group,Overall,Race/Ethnicity,Hispanic,Percentage of older adults with subjective cognitive decline or memory loss who ...
2019,WEST,West,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,27.0,13.1,47.6,Age Group,Overall,Race/Ethnicity,Asian/Pacific Islander,Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WEST,West,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,Percentage,%,0.0,,,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WEST,West,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,40.1,27.0,54.9,Age Group,50-64 years,Race/Ethnicity,Hispanic,Percentage of older adults with subjective cognitive decline or memory loss who ...
2019,WV,West Virginia,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,38.4,30.7,46.6,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",Percentage of older adults who reported that as a result of subjective cognitive...
2019,WI,Wisconsin,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,24.3,17.7,32.5,Age Group,65 years or older,Sex,Female,Percentage of older adults who reported that as a result of subjective cognitive...
2019,WI,Wisconsin,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,10.4,8.4,12.8,Age Group,Overall,Sex,Male,Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WV,West Virginia,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,13.4,11.6,15.4,Age Group,Overall,Sex,Female,Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WY,Wyoming,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,Percentage,%,26.4,17.8,37.3,Age Group,65 years or older,,,Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WV,West Virginia,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,Percentage,%,34.6,24.6,46.3,Age Group,65 years or older,Sex,Male,Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WEST,West,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,18.3,10.7,29.7,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,Percentage of older adults who reported that as a result of subjective cognitive...
2019,WI,Wisconsin,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,35.7,26.8,45.6,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",Percentage of older adults with subjective cognitive decline or memory loss who ...
2019,WV,West Virginia,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,38.9,28.9,50.0,Age Group,65 years or older,Sex,Female,Percentage of older adults with subjective cognitive decline or memory loss who ...
2019,WV,West Virginia,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,16.4,13.5,19.7,Age Group,50-64 years,Sex,Female,Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WV,West Virginia,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,Percentage,%,49.8,42.1,57.5,Age Group,Overall,Sex,Female,Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WEST,West,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,46.8,13.3,83.5,Age Group,50-64 years,Race/Ethnicity,Asian/Pacific Islander,Percentage of older adults who reported that as a result of subjective cognitive...
2019,WY,Wyoming,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,22.6,15.9,31.0,Age Group,Overall,Race/Ethnicity,"White, non-Hispanic",Percentage of older adults who reported that as a result of subjective cognitive...
2019,WEST,West,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,47.2,38.9,55.5,Age Group,50-64 years,Sex,Female,Percentage of older adults with subjective cognitive decline or memory loss who ...
2019,WEST,West,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,23.5,9.1,48.6,Age Group,50-64 years,Race/Ethnicity,Asian/Pacific Islander,Percentage of older adults with subjective cognitive decline or memory loss who ...
2019,WY,Wyoming,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,40.1,31.6,49.1,Age Group,Overall,,,Percentage of older adults with subjective cognitive decline or memory loss who ...
2019,WEST,West,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,24.0,15.1,35.9,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WEST,West,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,20.2,14.6,27.3,Age Group,65 years or older,Sex,Male,Percentage of older adults who reported that as a result of subjective cognitive...
2019,WEST,West,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,12.0,9.7,14.7,Age Group,Overall,Race/Ethnicity,Hispanic,Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WI,Wisconsin,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,9.6,8.7,10.6,Age Group,Overall,,,Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WI,Wisconsin,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,26.0,17.8,36.2,Age Group,Overall,Sex,Female,Percentage of older adults who reported that as a result of subjective cognitive...
2019,WEST,West,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,Percentage,%,45.2,30.4,60.8,Age Group,65 years or older,Race/Ethnicity,Hispanic,Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WEST,West,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,Percentage,%,52.4,27.2,76.5,Age Group,50-64 years,Race/Ethnicity,Asian/Pacific Islander,Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WEST,West,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,51.0,37.8,64.0,Age Group,65 years or older,Race/Ethnicity,Hispanic,Percentage of older adults with subjective cognitive decline or memory loss who ...
2019,WEST,West,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,46.7,41.5,51.9,Age Group,Overall,Sex,Female,Percentage of older adults with subjective cognitive decline or memory loss who ...
2019,WV,West Virginia,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,43.7,31.9,56.3,Age Group,50-64 years,Sex,Male,Percentage of older adults with subjective cognitive decline or memory loss who ...
2019,WEST,West,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,Percentage,%,35.9,18.4,58.2,Age Group,50-64 years,Race/Ethnicity,Native Am/Alaskan Native,Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WI,Wisconsin,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,8.9,7.2,10.9,Age Group,50-64 years,Sex,Female,Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WEST,West,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,43.8,38.3,49.4,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",Percentage of older adults with subjective cognitive decline or memory loss who ...
2019,WY,Wyoming,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,9.4,7.7,11.5,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WI,Wisconsin,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,35.7,24.0,49.5,Age Group,65 years or older,Sex,Male,Percentage of older adults with subjective cognitive decline or memory loss who ...
2019,WEST,West,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,50.2,37.9,62.4,Age Group,50-64 years,Race/Ethnicity,Hispanic,Percentage of older adults who reported that as a result of subjective cognitive...
2019,WV,West Virginia,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,11.6,10.0,13.5,Age Group,65 years or older,,,Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WV,West Virginia,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,Percentage,%,44.1,35.6,52.9,Age Group,Overall,Sex,Male,Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WI,Wisconsin,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,9.8,7.5,12.8,Age Group,50-64 years,Sex,Female,Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WY,Wyoming,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,27.0,19.6,36.1,Age Group,Overall,,,Percentage of older adults who reported that as a result of subjective cognitive...
2019,WY,Wyoming,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,Percentage,%,25.1,16.6,36.1,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WY,Wyoming,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,36.6,27.2,47.2,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",Percentage of older adults with subjective cognitive decline or memory loss who ...
2019,WV,West Virginia,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,33.6,26.5,41.5,Age Group,65 years or older,,,Percentage of older adults who reported that as a result of subjective cognitive...
2019,WEST,West,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,Percentage,%,24.2,17.4,32.5,Age Group,65 years or older,Sex,Male,Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WEST,West,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,21.8,18.6,25.5,Age Group,Overall,Race/Ethnicity,"White, non-Hispanic",Percentage of older adults who reported that as a result of subjective cognitive...
2019,WEST,West,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,Percentage,%,28.1,21.6,35.6,Age Group,Overall,Sex,Male,Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WEST,West,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,11.5,10.2,13.0,Age Group,65 years or older,Sex,Female,Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WY,Wyoming,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,7.7,6.0,9.8,Age Group,Overall,Sex,Male,Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WI,Wisconsin,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,Percentage,%,30.1,23.3,37.9,Age Group,Overall,,,Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WEST,West,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,12.3,11.4,13.3,Age Group,Overall,Race/Ethnicity,"White, non-Hispanic",Percentage of older adults who reported subjective cognitive decline or memory l...
2019,WI,Wisconsin,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,10.6,9.0,12.5,Age Group,65 years or older,Sex,Female,Percentage of older adults who reported subjective cognitive decline or memory l...
