Year,State_Code,State,Category,Topic,Question,Measure_Type,Unit,Value,CI_Low,CI_High,Stratification_Category,Stratification,Stratification_Category2,Stratification2,Question_Short
2022,WEST,West,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,Percentage,%,38.7,31.5,46.4,Age Group,Overall,Sex,Female,Percentage of older adults who reported subjective cognitive decline or memory l...
2022,WI,Wisconsin,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,8.9,7.2,10.9,Age Group,50-64 years,Sex,Female,Percentage of older adults who reported subjective cognitive decline or memory l...
2022,WEST,West,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,37.8,31.3,44.6,Age Group,65 years or older,,,Percentage of older adults with subjective cognitive decline or memory loss who ...
2022,WEST,West,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,Percentage,%,36.8,29.1,45.1,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",Percentage of older adults who reported subjective cognitive decline or memory l...
2022,VT,Vermont,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,28.2,21.1,36.7,Age Group,50-64 years,,,Percentage of older adults who reported that as a result of subjective cognitive...
2022,VA,Virginia,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,Percentage,%,26.7,18.5,36.8,Age Group,Overall,Sex,Male,Percentage of older adults who reported subjective cognitive decline or memory l...
2022,WEST,West,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,31.7,25.0,39.2,Age Group,Overall,Sex,Male,Percentage of older adults with subjective cognitive decline or memory loss who ...
2022,WI,Wisconsin,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,34.1,26.9,42.1,Age Group,50-64 years,,,Percentage of older adults who reported that as a result of subjective cognitive...
2022,VA,Virginia,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,26.1,20.7,32.3,Age Group,Overall,Race/Ethnicity,"White, non-Hispanic",Percentage of older adults who reported that as a result of subjective cognitive...
2022,WI,Wisconsin,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,52.2,44.3,59.9,Age Group,50-64 years,,,Percentage of older adults with subjective cognitive decline or memory loss who ...
